area,count,avg_price,min_price,max_price
湘鄂川,41,1.437560975609756,1.4,1.5
川皖鄂,40,8.1625,7.5,9.0
川鲁,40,7.034999999999999,3.5,8.5
鲁津冀,39,2.58974358974359,1.9,3.6
津京,39,2.717948717948718,2.0,3.8
冀鲁蒙,38,2.2263157894736842,2.0,2.8
云苏陕,38,4.468421052631579,3.4,6.7
浙闽云,38,3.039473684210526,2.3,4.0
冀鲁蒙豫,37,1.8945945945945943,1.5,2.5
桂粤闽豫,37,2.4016216216216217,2.2,2.7
冀云鄂,37,3.5189189189189185,3.2,3.6
鄂冀鲁,37,1.790810810810811,1.04,2.76
冀辽津,36,4.2555555555555555,3.4,5.7
冀新苏,36,1.788888888888889,1.7,1.9
苏冀,36,2.8666666666666667,1.7,7.5
津鲁冀,36,1.8333333333333333,1.4,2.9
川鄂,35,1.6845714285714286,1.1,3.0
京鲁,35,2.0954285714285716,1.36,3.5
海鲁,35,12.008571428571429,9.0,15.5
云浙,35,5.991428571428571,5.5,6.4
湘桂,34,2.338235294117647,1.7,2.8
鲁冀晋,34,4.785294117647059,1.7,8.5
豫鲁辽,34,6.070588235294117,5.8,6.3
海云粤,34,8.770588235294117,7.5,10.5
冀甘,34,5.423529411764706,2.3,8.5
粤桂琼鲁,33,4.812121212121212,4.2,5.3
云鲁冀,33,8.506060606060606,7.0,11.5
津冀京,33,2.793939393939394,1.6,3.3
鄂冀川,33,1.4721212121212122,1.06,2.6
陕云鄂闽,32,6.440625,4.8,8.0
印尼,31,35.9741935483871,20.6,53.0
云苏鄂,31,3.0903225806451613,3.0,3.1
苏鄂,31,4.532258064516129,3.8,5.3
海云,30,4.36,4.2,4.8
苏鲁冀,30,3.0233333333333334,2.6,3.5
苏鲁,30,4.0,1.6,5.2
云豫苏,30,1.6,1.36,1.8
鄂,30,2.8926666666666665,0.8,7.5
鲁浙皖云,29,2.4655172413793105,2.3,2.6
云浙苏陕豫,29,6.182758620689656,5.5,7.0
冀桂,29,2.2103448275862068,1.3,2.6
辽冀甘云,28,7.257142857142857,6.0,9.0
新粤,28,4.192857142857143,3.7,4.5
豫粤冀,28,7.521428571428571,6.8,8.3
新琼,28,2.4792857142857145,1.46,5.4
沪豫,28,3.3035714285714284,2.7,4.6
云辽,28,7.675,7.0,8.0
川冀,27,1.4659259259259259,1.1,2.0
桂粤琼,27,2.218518518518519,2.2,2.3
新桂琼,27,1.6259259259259258,1.6,1.7
宁冀陕,27,3.2629629629629626,3.1,3.7
闽云海,26,11.496153846153845,10.5,13.5
冀辽甘晋,26,8.111538461538462,7.0,10.5
冀鲁云豫,26,3.8153846153846156,3.2,4.4
冀鲁云川,26,2.8999999999999995,2.8,3.4
京津,26,2.723076923076923,2.3,3.0
苏川,26,5.342307692307693,4.8,6.1
宁,26,2.8307692307692305,2.5,2.9
苏豫皖,26,8.361538461538462,7.8,9.5
冀鲁皖,26,2.6576923076923076,2.3,3.0
甘黑云,25,2.156,2.0,2.3
津苏,25,5.108,4.5,5.3
豫苏皖鲁,24,1.4349999999999998,1.4,1.5
冀皖,24,1.9833333333333334,1.8,2.2
冀辽甘,24,9.450000000000001,8.5,10.0
鲁苏京,24,2.2,2.2,2.2
皖闽浙云,24,3.6458333333333335,3.5,3.8
桂云,24,3.73,3.36,3.8
苏琼,23,13.178260869565218,11.5,14.0
京冀辽,23,4.173913043478261,3.6,4.6
云辽冀,23,9.373913043478261,7.3,11.5
鄂琼冀,23,2.869565217391304,2.8,2.9
苏冀徽,23,7.352173913043478,7.1,7.5
豫鄂云,23,4.539130434782609,4.0,5.1
