date,avg_price,count
2023-08-19,18.718666666666667,330
2023-08-20,26.96491743119266,545
2023-08-21,23.50167641325536,513
2023-08-22,24.542136752136752,468
2023-08-23,24.560598290598293,468
2023-08-24,24.502735042735043,468
2023-08-25,24.424179104477613,469
2023-08-26,18.477386018237084,329
2023-08-27,25.49656108597285,442
2023-08-28,23.43346978557505,513
2023-08-29,24.428425531914893,470
2023-08-30,24.543340380549683,473
2023-08-31,26.081080139372823,574
2023-09-01,24.535541401273885,471
2023-09-02,18.515939393939394,330
2023-09-03,25.991666666666664,444
2023-09-04,23.919883720930233,516
2023-09-05,24.933898305084742,472
2023-09-06,25.359831223628692,474
2023-09-07,25.385400843881857,474
2023-09-08,25.29720930232558,473
2023-09-09,18.56224924012158,329
2023-09-10,27.746787003610105,554
2023-09-11,24.4096,525
